id,lok_no,session_no,party_family,ministry,sent_neg,sent_pos,sent_neu,sent_compound,sent_label
LS16-S15-STARRED-196,16,15,BJP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",0.0075,0.04,0.9525,0.41125,positive
LS16-S15-STARRED-193,16,15,Shiv Sena,AGRICULTURE AND FARMERS WELFARE,0.01,0.118,0.872,0.9682,positive
LS16-S15-STARRED-192,16,15,BJP,SOCIAL JUSTICE AND EMPOWERMENT,0.0,0.0196,0.9804,0.01544,neutral
LS16-S15-STARRED-188,16,15,BJP,AGRICULTURE AND FARMERS WELFARE,0.04466666666666667,0.038,0.9173333333333334,0.15253333333333333,positive
LS16-S15-STARRED-185,16,15,TDP,AGRICULTURE AND FARMERS WELFARE,0.03933333333333333,0.028,0.9326666666666666,0.12366666666666666,positive
LS16-S15-STARRED-183,16,15,Shiv Sena,AGRICULTURE AND FARMERS WELFARE,0.042,0.069,0.889,0.2263,positive
LS16-S15-STARRED-176,16,15,Regional,COMMERCE AND INDUSTRY,0.057666666666666665,0.011999999999999999,0.9303333333333333,-0.08143333333333333,adversarial
LS16-S15-STARRED-174,16,15,BJP,CULTURE,0.0,0.049,0.9510000000000001,0.4221,positive
LS16-S15-STARRED-172,16,15,RJD,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,0.0,0.021333333333333333,0.9786666666666667,0.25020000000000003,positive
LS16-S15-STARRED-169,16,15,BJP,PETROLEUM AND NATURAL GAS,0.047,0.047,0.906,-0.0216,neutral
LS16-S15-STARRED-168,16,15,BJP,TRIBAL AFFAIRS,0.041,0.075,0.884,0.3612,positive
LS16-S15-STARRED-166,16,15,BJP,TRIBAL AFFAIRS,0.06133333333333333,0.04933333333333333,0.8893333333333332,0.14813333333333334,positive
LS16-S15-STARRED-164,16,15,INC,HUMAN RESOURCE DEVELOPMENT,0.0045,0.0515,0.944,0.4511,positive
LS16-S15-STARRED-163,16,15,BJP,PETROLEUM AND NATURAL GAS,0.064,0.121,0.816,0.6841,positive
LS16-S15-STARRED-162,16,15,INC,HUMAN RESOURCE DEVELOPMENT,0.074,0.0132,0.9128000000000001,0.08682000000000001,positive
LS16-S15-STARRED-154,16,15,BJP,FINANCE,0.1915,0.0595,0.749,0.23260000000000003,positive
LS16-S15-STARRED-151,16,15,BJP,HEALTH AND FAMILY WELFARE,0.0,0.051,0.949,0.4939,positive
LS16-S15-STARRED-150,16,15,BJP,"ENVIRONMENT,  FORESTS AND CLIMATE CHANGE",0.041,0.097,0.862,0.5753,positive
LS16-S15-STARRED-148,16,15,BJP,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)",0.035,0.066,0.899,0.4215,positive
LS16-S15-STARRED-147,16,15,TDP,FINANCE,0.092,0.072,0.836,-0.4019,adversarial
LS16-S15-STARRED-146,16,15,BJP,FINANCE,0.016,0.052,0.932,0.6249,positive
